Capability	Template	Label	BERT	DistilBERT	RoBERTa-large	DeBERTa	RoBERTa-SNLI-MNLI-FEVER-ANLI	File
BOOLEAN	P: {NAME1} is {ADJECTIVE_OF_PERSON}. {NAME2} is {ADJECTIVE_OF_PERSON}. H: {NAME1} and {NAME2} are {ADJECTIVE_OF_PERSON}.	entailment	100.00	100.00	100.00	100.00	100.00	boolean-16
BOOLEAN	P: {NAME2} is {ADJECTIVE_OF_PERSON1} and {ADJECTIVE_OF_PERSON2}. H: {NAME} is {ADJECTIVE_OF_PERSON1}. {NAME} is {ADJECTIVE_OF_PERSON2}.	entailment	12.40	24.90	1.30	0.70	0.80	boolean-17
BOOLEAN	P: {NAME1} and {NAME2} are {ADJECTIVE_OF_PERSON}. H: {NAME1} is {ADJECTIVE_OF_PERSON}. {NAME2} is {ADJECTIVE_OF_PERSON}.	entailment	100.00	100.00	100.00	100.00	100.00	boolean-18
BOOLEAN	P: {NAME1} is {ADJECTIVE_OF_PERSON1}. {NAME2} is {ADJECTIVE_OF_PERSON2}. H: {NAME1} and {NAME2} are {ADJECTIVE_OF_PERSON1}.	neutral	0.20	0.00	0.00	0.00	3.50	boolean-19
BOOLEAN	P: {NAME1} and {NAME2} are from {COUNTRY1} and {COUNTRY2} respectively. H: {NAME1} is from {COUNTRY1}.	entailment	99.40	86.90	100.00	100.00	100.00	boolean-20
BOOLEAN	P: {NAME1} and {NAME2} are from {COUNTRY1} and {COUNTRY2} respectively. H: {NAME2} is from {COUNTRY2}.	entailment	10.30	37.40	100.00	99.80	100.00	boolean-21
BOOLEAN	P: {NAME1} and {NAME2} are from {COUNTRY1} and {COUNTRY2} respectively. H: {NAME1} is from {COUNTRY2}.	contradiction	90.70	63.30	94.80	99.50	98.40	boolean-22
BOOLEAN	P: {NAME1} and {NAME2} are from {COUNTRY1} and {COUNTRY2} respectively. H: {NAME2} is from {COUNTRY1}.	contradiction	0.10	10.70	1.40	24.60	5.60	boolean-23
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are from {COUNTRY1}, {COUNTRY2} and {COUNTRY3} respectively. H: {NAME1} is from {COUNTRY1}.	entailment	98.80	93.10	100.00	100.00	100.00	boolean-24
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are from {COUNTRY1}, {COUNTRY2} and {COUNTRY3} respectively. H: {NAME2} is from {COUNTRY2}.	entailment	0.80	15.60	100.00	99.90	100.00	boolean-25
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are from {COUNTRY1}, {COUNTRY2} and {COUNTRY3} respectively. H: {NAME3} is from {COUNTRY3}.	entailment	1.40	9.00	100.00	99.90	100.00	boolean-26
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are from {COUNTRY1}, {COUNTRY2} and {COUNTRY3} respectively. H: {NAME1} is from {COUNTRY2}.	contradiction	99.00	76.20	10.10	43.00	2.20	boolean-27
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are from {COUNTRY1}, {COUNTRY2} and {COUNTRY3} respectively. H: {NAME2} is from {COUNTRY3}.	contradiction	99.60	93.50	32.50	12.80	17.60	boolean-28
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are from {COUNTRY1}, {COUNTRY2} and {COUNTRY3} respectively. H: {NAME3} is from {COUNTRY1}.	contradiction	0.70	5.40	0.00	7.60	0.20	boolean-29
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3} and {NAME4} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3} and {COUNTRY4} respectively. H: {NAME1} is from {COUNTRY1}.	entailment	99.00	93.70	100.00	100.00	100.00	boolean-30
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3} and {NAME4} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3} and {COUNTRY4} respectively. H: {NAME2} is from {COUNTRY2}.	entailment	1.00	15.10	100.00	99.40	100.00	boolean-31
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3} and {NAME4} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3} and {COUNTRY4} respectively. H: {NAME3} is from {COUNTRY3}.	entailment	0.00	1.60	99.00	96.00	100.00	boolean-32
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3} and {NAME4} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3} and {COUNTRY4} respectively. H: {NAME4} is from {COUNTRY4}.	entailment	1.30	4.80	100.00	99.80	100.00	boolean-33
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3} and {NAME4} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3} and {COUNTRY4} respectively. H: {NAME1} is from {COUNTRY2}.	contradiction	98.70	79.40	6.10	38.60	0.00	boolean-34
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3} and {NAME4} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3} and {COUNTRY4} respectively. H: {NAME2} is from {COUNTRY3}.	contradiction	100.00	97.20	5.50	4.40	0.00	boolean-35
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3} and {NAME4} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3} and {COUNTRY4} respectively. H: {NAME3} is from {COUNTRY4}.	contradiction	98.90	96.00	14.40	8.40	1.50	boolean-36
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3} and {NAME4} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3} and {COUNTRY4} respectively. H: {NAME4} is from {COUNTRY1}.	contradiction	0.10	7.80	0.00	4.70	0.00	boolean-37
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3}, {NAME4} and {NAME5} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3}, {COUNTRY4} and {COUNTRY5} respectively. H: {NAME1} is from {COUNTRY1}.	entailment	99.70	98.00	100.00	100.00	100.00	boolean-38
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3}, {NAME4} and {NAME5} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3}, {COUNTRY4} and {COUNTRY5} respectively. H: {NAME2} is from {COUNTRY2}.	entailment	0.90	10.60	99.80	97.80	100.00	boolean-39
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3}, {NAME4} and {NAME5} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3}, {COUNTRY4} and {COUNTRY5} respectively. H: {NAME3} is from {COUNTRY3}.	entailment	0.00	1.40	99.10	91.00	100.00	boolean-40
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3}, {NAME4} and {NAME5} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3}, {COUNTRY4} and {COUNTRY5} respectively. H: {NAME4} is from {COUNTRY4}.	entailment	0.00	1.30	98.40	81.00	100.00	boolean-41
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3}, {NAME4} and {NAME5} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3}, {COUNTRY4} and {COUNTRY5} respectively. H: {NAME5} is from {COUNTRY5}.	entailment	3.30	4.30	100.00	99.20	100.00	boolean-42
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3}, {NAME4} and {NAME5} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3}, {COUNTRY4} and {COUNTRY5} respectively. H: {NAME1} is from {COUNTRY2}.	contradiction	98.70	85.20	6.30	40.80	0.00	boolean-43
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3}, {NAME4} and {NAME5} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3}, {COUNTRY4} and {COUNTRY5} respectively. H: {NAME2} is from {COUNTRY3}.	contradiction	99.80	96.70	3.40	5.90	0.10	boolean-44
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3}, {NAME4} and {NAME5} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3}, {COUNTRY4} and {COUNTRY5} respectively. H: {NAME3} is from {COUNTRY4}.	contradiction	99.90	98.50	7.00	10.90	0.10	boolean-45
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3}, {NAME4} and {NAME5} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3}, {COUNTRY4} and {COUNTRY5} respectively. H: {NAME4} is from {COUNTRY5}.	contradiction	98.20	97.40	6.80	16.30	0.30	boolean-46
BOOLEAN	P: {NAME1}, {NAME2}, {NAME3}, {NAME4} and {NAME5} are from {COUNTRY1}, {COUNTRY2}, {COUNTRY3}, {COUNTRY4} and {COUNTRY5} respectively. H: {NAME5} is from {COUNTRY1}.	contradiction	0.20	3.60	0.80	9.00	0.00	boolean-47
BOOLEAN	P: {NAME1} and {NAME2} are from {COUNTRY1} and {COUNTRY2} respectively. H: {NAME1} is not from {COUNTRY2}.	entailment	0.00	0.00	0.00	0.00	36.90	boolean-48
BOOLEAN	P: {NAME1} and {NAME2} are from {COUNTRY1} and {COUNTRY2} respectively. H: {NAME2} is not from {COUNTRY1}.	entailment	0.00	0.00	0.00	0.40	7.90	boolean-49
BOOLEAN	P: {NAME1} and {NAME2} are from {COUNTRY1} and {COUNTRY2} respectively. H: {NAME1} is not from {COUNTRY1}.	contradiction	100.00	100.00	100.00	100.00	100.00	boolean-50
BOOLEAN	P: {NAME1} and {NAME2} are from {COUNTRY1} and {COUNTRY2} respectively. H: {NAME2} is not from {COUNTRY2}.	contradiction	100.00	100.00	100.00	100.00	100.00	boolean-51
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are from {COUNTRY1}, {COUNTRY2} and {COUNTRY3} respectively. H: {NAME1} is not from {COUNTRY2}.	entailment	0.00	0.00	0.00	0.00	0.10	boolean-52
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are from {COUNTRY1}, {COUNTRY2} and {COUNTRY3} respectively. H: {NAME2} is not from {COUNTRY3}.	entailment	0.00	0.00	0.00	0.00	8.50	boolean-53
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are from {COUNTRY1}, {COUNTRY2} and {COUNTRY3} respectively. H: {NAME3} is not from {COUNTRY1}.	entailment	0.00	0.00	0.00	0.30	0.30	boolean-54
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are from {COUNTRY1}, {COUNTRY2} and {COUNTRY3} respectively. H: {NAME1} is not from {COUNTRY1}.	contradiction	100.00	100.00	100.00	99.90	100.00	boolean-55
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are from {COUNTRY1}, {COUNTRY2} and {COUNTRY3} respectively. H: {NAME2} is not from {COUNTRY2}.	contradiction	100.00	100.00	100.00	99.80	99.60	boolean-56
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are from {COUNTRY1}, {COUNTRY2} and {COUNTRY3} respectively. H: {NAME3} is not from {COUNTRY3}.	contradiction	100.00	100.00	100.00	100.00	100.00	boolean-57
BOOLEAN	P: {NAME} is {A} {PROFESSION1} or {A} {PROFESSION2} but not both. H: {NAME} is both {A} {PROFESSION1} and {A} {PROFESSION2}.	contradiction	100.00	99.70	100.00	100.00	100.00	boolean-58
BOOLEAN	P: {NAME} is both {A} {PROFESSION1} and {A} {PROFESSION2}. H: {NAME} is {A} {PROFESSION1} but not {A} {PROFESSION2}.	contradiction	100.00	100.00	100.00	100.00	100.00	boolean-59
BOOLEAN	P: {NAME} is both {A} {PROFESSION1} and {A} {PROFESSION2}. H: {NAME} is {A} {PROFESSION2} but not {A} {PROFESSION1}.	contradiction	100.00	100.00	100.00	100.00	100.00	boolean-60
BOOLEAN	P: {Capitalise(OBJECT_TABLE1)} and {OBJECT_TABLE2} lie on table. {NAME} asked for {OBJECT_TABLE1}. H: {NAME} also asked for {OBJECT_TABLE2}.	neutral	13.40	3.90	100.00	100.00	99.30	boolean-61
BOOLEAN	P: {Capitalise(OBJECT_TABLE1)} and {OBJECT_TABLE2} lie on table. {NAME} asked for {OBJECT_TABLE2}. H: {NAME} also asked for {OBJECT_TABLE1}.	neutral	4.70	3.70	99.00	100.00	98.80	boolean-62
COMPARATIVE	P: {NAME1} is {T1_COM} than {NAME2}. H: {NAME1} and {NAME2} can be compared in terms of how {T1_POS} they are.	entailment	87.50	85.90	100.00	100.00	100.00	comparative-1
COMPARATIVE	P: {NAME1} is {T2_COM} than {NAME2}. H: {NAME1} and {NAME2} can be compared in terms of how {T2_POS_MISMATCH} they are.	neutral	89.80	82.40	71.90	75.40	71.30	comparative-2
COMPARATIVE	P: {NAME1} is {T1_COM} than {NAME2}. H: {NAME2} is {T1_COM} than {NAME1}.	contradiction	85.30	0.00	100.00	100.00	100.00	comparative-3
COMPARATIVE	P: {NAME1} is {T1_COM} than {NAME2}. {NAME2} is {T1_COM} than {NAME3}. H: {NAME1} is {T1_COM} than {NAME2}.	entailment	100.00	100.00	94.50	47.80	99.80	comparative-4
COMPARATIVE	P: {NAME1} is {T1_COM} than {NAME2}. {NAME2} is {T1_COM} than {NAME3}. H: {NAME2} is {T1_COM} than {NAME3}.	entailment	47.70	100.00	94.60	96.00	96.50	comparative-5
COMPARATIVE	P: {NAME1} is {T1_COM} than {NAME2}. {NAME2} is {T1_COM} than {NAME3}. H: {NAME1} is {T1_COM} than {NAME3}.	entailment	99.50	100.00	1.40	2.00	12.20	comparative-6
COMPARATIVE	P: {NAME2} is {T1_COM} than {NAME3}. {NAME1} is {T1_COM} than {NAME2}. H: {NAME1} is {T1_COM} than {NAME3}.	entailment	83.10	99.80	84.70	5.40	96.50	comparative-7
COMPARATIVE	P: {NAME1} is {T1_COM} than {NAME2}. {NAME2} is {T1_COM} than {NAME3}. H: {NAME3} is {T1_COM} than {NAME1}.	contradiction	94.70	3.40	100.00	100.00	100.00	comparative-8
COMPARATIVE	P: {NAME2} is {T1_COM} than {NAME3}. {NAME1} is {T1_COM} than {NAME2}. H: {NAME3} is {T1_COM} than {NAME1}.	contradiction	98.10	0.00	100.00	100.00	100.00	comparative-9
COMPARATIVE	P: {NAME1} is {T1_COM} than {NAME2}. {NAME1} is {T1_COM} than {NAME3}. H: {NAME2} is {T1_COM} than {NAME3}.	neutral	0.00	0.00	0.00	0.00	0.00	comparative-10
COMPARATIVE	P: {NAME1} is {T1_COM} than {NAME2}. {NAME1} is {T1_COM} than {NAME3}. H: {NAME3} is {T1_COM} than {NAME2}.	neutral	0.00	0.00	0.00	0.00	0.00	comparative-11
COMPARATIVE	P: {NAME2} is {T1_COM} than {NAME1}. {NAME3} is {T1_COM} than {NAME1}. H: {NAME2} is {T1_COM} than {NAME3}.	neutral	0.00	0.00	0.00	0.00	0.00	comparative-12
COMPARATIVE	P: {NAME2} is {T1_COM} than {NAME1}. {NAME3} is {T1_COM} than {NAME1}. H: {NAME3} is {T1_COM} than {NAME2}.	neutral	0.00	0.00	0.00	0.10	0.00	comparative-13
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME1}. H: {NAME1} is {T1_COM} than {NAME2}.	entailment	57.10	71.40	93.50	94.90	88.80	comparative-14
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME1}. H: {NAME1} is {T1_COM} than {NAME3}.	entailment	61.90	76.30	97.70	97.30	96.80	comparative-15
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME2}. H: {NAME2} is {T1_COM} than {NAME1}.	entailment	47.40	73.30	98.70	99.10	68.90	comparative-16
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME2}. H: {NAME2} is {T1_COM} than {NAME3}.	entailment	61.10	70.70	96.90	98.10	99.30	comparative-17
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME3}. H: {NAME3} is {T1_COM} than {NAME1}.	entailment	45.20	73.20	97.00	98.00	66.50	comparative-18
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME3}. H: {NAME3} is {T1_COM} than {NAME2}.	entailment	55.20	70.50	86.10	93.10	54.20	comparative-19
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME1}. H: {NAME2} is {T1_COM} than {NAME3}.	neutral	16.70	2.00	0.30	3.80	3.50	comparative-20
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME1}. H: {NAME3} is {T1_COM} than {NAME2}.	neutral	14.90	2.30	0.30	0.90	1.40	comparative-21
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME2}. H: {NAME1} is {T1_COM} than {NAME3}.	neutral	15.10	1.70	0.00	2.00	3.50	comparative-22
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME2}. H: {NAME3} is {T1_COM} than {NAME1}.	neutral	13.00	1.00	0.10	0.40	0.50	comparative-23
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME3}. H: {NAME1} is {T1_COM} than {NAME2}.	neutral	26.10	2.30	0.10	5.00	55.60	comparative-24
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME3}. H: {NAME2} is {T1_COM} than {NAME1}.	neutral	19.20	2.90	0.00	3.50	32.40	comparative-25
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME1}. H: {NAME2} is {T1_COM} than {NAME1}.	contradiction	71.60	29.80	100.00	100.00	99.90	comparative-26
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME1}. H: {NAME3} is {T1_COM} than {NAME1}.	contradiction	70.80	31.20	100.00	100.00	99.80	comparative-27
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME2}. H: {NAME1} is {T1_COM} than {NAME2}.	contradiction	62.80	26.90	100.00	100.00	99.90	comparative-28
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME2}. H: {NAME3} is {T1_COM} than {NAME2}.	contradiction	58.00	31.40	100.00	100.00	99.60	comparative-29
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME3}. H: {NAME1} is {T1_COM} than {NAME3}.	contradiction	66.90	25.70	100.00	100.00	99.10	comparative-30
COMPARATIVE	P: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME3}. H: {NAME2} is {T1_COM} than {NAME3}.	contradiction	59.50	31.10	100.00	100.00	99.50	comparative-31
COMPARATIVE	P: {NAME1} is {T1_COM} than {NAME2}. {NAME1} is {T1_COM} than {NAME3}. H: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME1}.	entailment	3.70	40.70	100.00	100.00	100.00	comparative-32
COMPARATIVE	P: {NAME2} is {T1_COM} than {NAME1}. {NAME2} is {T1_COM} than {NAME3}. H: Among {NAME1}, {NAME2} and {NAME3} the {T1_SUP} is {NAME2}.	entailment	3.20	41.30	100.00	100.00	99.90	comparative-33
